Series ID,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016
CES0500000003,25.37,25.38,25.46,25.54,25.59,25.62,25.71,25.74,25.81,25.90,25.91,25.98
CES0600000003,26.52,26.54,26.66,26.79,26.90,26.91,26.98,26.99,27.09,27.26,27.14,27.24
CES0800000003,25.10,25.10,25.18,25.24,25.28,25.32,25.41,25.45,25.52,25.58,25.62,25.68
CES1000000003,31.93,31.64,31.92,32.12,32.33,32.14,32.10,31.80,32.12,32.45,32.09,32.48
CES1011330003,21.07,21.01,21.03,20.50,21.31,21.46,21.37,21.48,21.13,21.42,21.41,21.28
CES1021000003,32.73,32.48,32.73,32.97,33.13,32.94,32.92,32.59,32.95,33.28,32.89,33.30
CES1021100003,44.12,43.69,43.89,45.07,44.91,44.29,44.18,43.87,44.25,44.78,44.44,45.15
CES1021200003,29.04,28.87,29.23,29.01,28.93,28.92,29.14,28.96,29.07,29.35,28.85,29.13
CES1021210003,32.87,32.58,32.50,32.05,31.86,31.25,31.84,31.79,32.03,32.45,31.97,32.20
CES1021220003,31.95,32.28,32.67,33.68,33.35,33.23,33.96,32.99,32.84,33.03,31.79,32.22
CES1021230003,25.39,25.39,26.41,25.56,25.53,25.72,25.74,25.40,25.76,25.94,25.94,26.16
CES1021231003,24.38,24.41,26.80,24.31,24.12,24.26,24.40,23.90,24.18,24.46,24.12,24.34
CES1021231203,25.52,25.51,26.04,25.59,25.37,25.24,25.18,25.09,24.99,25.37,24.99,25.14
CES1021231903,23.20,23.13,27.75,23.11,22.70,23.65,23.46,22.45,23.47,23.27,23.16,23.49
CES1021300003,28.49,28.19,28.33,28.61,28.64,28.54,28.59,28.24,28.56,28.46,28.76,29.17
CES1021311203,27.34,27.23,27.55,27.68,27.92,27.81,27.69,27.59,27.82,27.83,27.98,28.47
CES2000000003,27.63,27.74,27.87,27.96,28.06,28.13,28.22,28.21,28.33,28.42,28.34,28.40
CES2023600003,29.52,29.55,29.60,29.80,29.89,29.82,30.10,30.16,30.16,30.29,30.27,30.39
CES2023610003,26.78,26.80,26.83,26.91,26.85,26.86,27.13,27.18,27.23,27.29,27.19,27.31
CES2023611503,26.54,26.57,26.64,26.67,26.51,26.57,26.87,26.92,26.87,27.04,27.10,27.42
CES2023611803,25.02,25.18,25.16,25.36,25.32,25.43,25.54,25.45,25.53,25.61,25.40,25.39
CES2023620003,31.92,31.87,32.06,32.28,32.54,32.51,32.73,32.86,32.85,32.97,33.04,33.20
CES2023621003,32.04,31.81,32.35,32.61,32.96,32.84,32.80,32.67,32.86,33.08,33.18,33.39
CES2023622003,31.93,31.96,31.96,32.20,32.43,32.38,32.69,32.86,32.84,32.92,33.00,33.15
CES2023700003,28.91,28.78,29.24,29.34,29.44,29.44,29.52,29.52,29.62,29.89,29.57,29.79
CES2023710003,28.36,28.36,29.06,29.19,29.24,29.17,29.24,29.20,29.27,29.61,29.22,29.30
CES2023711003,26.14,26.15,26.31,26.23,26.35,26.26,26.39,26.46,26.35,26.27,26.24,26.42
CES2023712003,30.00,31.00,31.89,31.97,32.02,32.08,31.88,31.88,32.66,32.81,32.20,32.04
CES2023713003,29.13,27.81,29.61,30.14,29.86,29.91,30.07,30.02,30.14,30.54,30.01,29.91
CES2023720003,36.16,36.19,36.53,38.21,38.69,39.23,39.40,39.54,39.69,40.01,37.64,38.43
CES2023730003,28.42,28.48,28.56,28.58,28.64,28.54,28.68,28.65,28.78,28.86,28.49,28.73
CES2023790003,29.84,29.73,30.24,29.98,29.96,30.29,30.28,30.32,30.81,31.37,32.03,32.49
CES2023800003,26.70,26.81,26.94,26.98,27.07,27.20,27.24,27.22,27.35,27.40,27.39,27.41
CES2023810003,25.12,25.14,25.33,25.22,25.17,25.26,25.17,25.18,25.24,25.31,25.31,25.37
CES2023811003,24.28,24.67,24.82,24.84,24.97,25.02,24.82,24.92,24.97,24.97,25.12,25.48
CES2023812003,30.54,30.11,30.75,30.40,29.31,29.51,29.70,29.28,30.37,30.06,30.10,29.97
CES2023813003,21.88,22.00,22.22,22.48,22.31,22.23,22.48,22.29,22.37,22.40,22.50,22.23
CES2023814003,24.25,24.18,24.55,24.06,24.10,24.24,23.78,24.27,24.31,24.64,24.38,24.26
CES2023815003,27.41,27.46,27.63,27.15,27.81,27.90,27.64,27.60,27.50,27.46,27.77,27.47
CES2023816003,24.92,24.65,24.62,24.93,25.00,25.08,25.16,25.08,25.03,24.95,24.95,25.22
CES2023817003,22.95,22.82,22.47,22.54,22.03,22.57,23.40,23.70,23.12,23.50,22.74,22.73
CES2023819003,26.00,25.82,26.35,25.39,25.18,25.05,24.53,24.51,23.80,23.45,23.95,24.21
CES2023820003,28.29,28.46,28.59,28.70,28.81,28.99,29.01,28.93,29.14,29.25,29.17,29.09
CES2023821003,28.90,29.21,29.39,29.47,29.64,30.10,30.05,29.88,29.99,30.02,30.14,29.91
CES2023822003,27.70,27.72,27.82,27.88,27.96,28.03,28.09,27.98,28.29,28.40,28.24,28.19
CES2023829003,28.68,28.83,29.12,29.62,29.72,29.61,29.67,30.02,30.07,30.21,29.70,29.95
CES2023830003,25.20,25.14,25.43,25.45,25.59,25.81,25.92,25.90,26.07,25.90,26.03,26.05
CES2023831003,27.31,27.53,28.01,28.01,27.79,27.73,27.72,27.91,27.89,27.77,28.15,28.25
CES2023832003,21.95,21.94,21.99,22.24,22.60,22.67,22.86,23.01,23.24,23.09,22.86,23.33
CES2023833003,24.53,24.32,24.56,23.49,24.51,24.64,25.01,24.89,25.01,25.32,25.23,24.40
CES2023834003,24.52,24.20,24.09,24.28,24.49,25.28,25.03,25.41,25.85,26.14,27.15,27.37
CES2023835003,25.02,24.99,25.24,25.29,25.61,25.50,25.70,25.23,25.51,25.22,25.48,25.17
CES2023839003,27.58,27.23,28.35,28.65,28.23,29.27,29.75,29.59,30.09,29.21,28.58,29.07
CES2023890003,25.45,25.47,25.58,25.58,25.75,25.64,25.81,25.85,25.96,26.08,26.05,26.31
CES2023891003,25.13,25.20,25.42,25.44,25.73,25.78,26.06,26.22,26.34,26.51,26.16,26.18
CES2023899003,25.77,25.79,25.75,25.66,25.76,25.63,25.60,25.57,25.72,25.75,26.02,26.34
CES3000000003,25.61,25.62,25.72,25.87,25.99,25.97,26.03,26.07,26.16,26.35,26.22,26.33
CES3100000003,26.96,26.96,27.05,27.18,27.31,27.29,27.34,27.41,27.46,27.67,27.49,27.60
CES3132100003,19.01,19.02,19.15,19.26,19.38,19.40,19.50,19.44,19.55,19.62,19.36,19.55
CES3132110003,19.27,19.32,19.31,19.50,19.51,19.55,19.81,19.66,19.69,19.82,19.37,19.60
CES3132120003,19.33,19.11,19.44,19.57,19.69,19.43,19.35,19.15,19.27,19.34,19.30,19.62
CES3132190003,18.74,18.78,19.01,19.02,19.27,19.35,19.45,19.44,19.57,19.61,19.41,19.43
CES3132191003,19.99,20.03,20.16,20.35,20.57,20.51,20.62,20.66,20.64,20.71,20.56,20.68
CES3132191103,22.88,23.06,23.13,23.46,23.94,23.71,23.69,23.74,23.53,23.42,23.17,23.19
CES3132191803,17.35,17.30,17.35,17.43,17.56,17.53,17.65,17.46,17.66,17.95,17.88,18.09
CES3132192003,17.45,17.44,17.65,17.66,17.48,17.72,18.11,17.94,17.79,17.97,18.17,18.07
CES3132199003,18.10,18.10,18.27,18.03,18.71,18.99,18.87,18.98,19.76,19.51,18.80,19.11
CES3132700003,23.73,23.63,23.65,24.01,23.72,23.68,23.69,23.50,23.60,23.70,23.50,23.49
CES3132730003,25.09,24.82,24.70,24.77,24.53,24.52,24.56,24.32,24.27,24.29,24.22,24.28
CES3132732003,25.15,24.76,24.82,24.81,24.56,24.37,24.20,24.31,24.10,24.22,24.26,24.36
