Series ID,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016
CES0000000001,143211,143448,143673,143826,143869,144166,144457,144633,144882,145006,145170,145325
CES0500000001,121097,121318,121507,121665,121682,121951,122200,122343,122566,122698,122876,123026
CES0600000001,19754,19747,19752,19743,19699,19705,19731,19707,19718,19727,19762,19794
CES0700000001,123457,123701,123921,124083,124170,124461,124726,124926,125164,125279,125408,125531
CES0800000001,101343,101571,101755,101922,101983,102246,102469,102636,102848,102971,103114,103232
CES1000000001,728,710,692,683,674,668,664,661,661,659,666,668
CES1011330001,51.4,52.7,52.3,51.6,51.6,51.6,51.1,50.6,50.7,50.7,50.5,51.0
CES1021000001,676.9,656.9,639.8,631.0,622.6,616.6,612.6,610.8,610.2,608.6,615.1,616.8
CES1021100001,186.2,184.6,183.1,181.4,180.4,178.6,177.6,178.4,177.7,177.5,178.5,177.3
CES1021200001,187.4,185.5,183.5,181.6,178.9,178.7,177.9,177.9,178.7,179.0,181.3,182.0
CES1021210001,55.5,53.5,52.1,51.2,49.8,49.0,48.7,48.6,48.6,49.3,49.7,49.7
CES1021211101,26.2,25.4,25.2,24.5,24.1,23.9,23.3,23.9,24.0,24.2,24.4,24.4
CES1021211301,29.3,28.0,27.0,26.8,25.9,25.3,25.2,24.7,24.6,24.9,25.3,25.3
CES1021220001,39.6,39.7,39.1,38.5,38.7,38.9,38.8,39.0,39.3,39.4,39.2,39.1
CES1021230001,92.3,92.3,92.4,91.9,90.3,90.7,90.4,90.4,90.8,90.3,92.4,93.2
CES1021231001,41.2,41.3,41.6,41.4,41.3,41.1,41.0,40.9,41.3,41.1,42.1,42.4
CES1021231201,21.6,21.4,21.3,21.3,21.1,21.2,21.4,20.5,21.3,21.2,21.4,21.4
CES1021231901,19.3,20.0,20.3,20.2,20.3,20.0,19.5,20.1,20.1,20.2,20.6,20.7
CES1021232001,39.0,39.1,39.1,39.0,38.2,37.8,37.5,37.5,37.5,37.3,38.4,38.8
CES1021232101,27.8,28.1,28.1,27.9,26.5,27.2,26.9,26.9,27.1,27.0,27.6,27.8
CES1021239001,11.9,12.0,11.7,11.7,11.7,11.7,11.7,11.8,11.8,11.7,12.1,12.1
CES1021300001,303.3,286.8,273.2,268.0,263.3,259.3,257.1,254.5,253.8,252.1,255.3,257.5
CES1021311201,234.8,222.0,213.6,207.6,202.6,199.0,197.9,194.2,192.6,191.4,194.6,195.6
CES2000000001,6639,6662,6705,6704,6690,6690,6708,6704,6727,6743,6771,6783
CES2023600001,1468.5,1477.5,1488.1,1493.4,1487.7,1484.0,1490.9,1489.9,1494.3,1500.7,1501.3,1503.2
CES2023610001,716.9,720.0,724.3,732.1,730.5,728.8,731.2,737.9,746.4,749.4,752.1,753.6
CES2023611501,339.8,342.3,341.8,347.4,344.1,340.9,342.6,346.7,350.4,351.1,352.5,353.3
CES2023611601,31.5,31.2,32.1,31.8,31.1,31.6,32.1,31.3,32.5,32.4,33.3,33.3
CES2023611701,34.8,34.4,34.8,34.9,35.8,36.1,35.0,35.7,35.2,35.3,36.2,36.1
CES2023611801,310.8,312.0,315.6,318.0,319.4,320.2,321.5,324.3,328.3,330.6,330.2,330.9
CES2023620001,751.6,757.5,763.8,761.3,757.2,755.2,759.7,752.0,747.9,751.3,749.2,749.6
CES2023621001,164.3,164.4,164.2,165.1,163.4,162.4,163.0,162.5,159.6,162.7,161.5,162.0
CES2023622001,587.2,593.1,599.7,596.2,593.8,592.8,596.7,589.5,588.3,588.6,587.6,587.6
CES2023700001,943.3,947.0,958.8,955.5,946.4,942.7,945.8,935.2,941.1,946.4,943.2,935.0
CES2023710001,482.3,484.4,485.4,482.8,479.0,474.0,480.6,468.5,471.2,474.7,469.7,467.0
CES2023711001,176.0,178.5,178.1,179.4,178.9,179.1,181.7,179.4,182.5,183.1,183.3,181.2
CES2023712001,134.7,133.6,134.9,130.5,128.3,124.1,122.9,119.6,119.7,120.3,118.0,116.9
CES2023713001,172.8,173.5,174.5,174.0,172.0,170.7,171.2,170.0,169.9,171.5,167.6,167.7
CES2023720001,38.9,38.7,40.4,38.9,38.9,39.1,38.8,39.4,39.6,39.6,39.1,38.7
CES2023730001,314.2,312.6,318.1,321.2,321.8,321.4,322.0,321.9,323.6,323.6,326.9,325.9
CES2023790001,106.2,109.1,111.4,110.7,106.3,108.6,107.8,106.6,106.0,106.7,106.5,105.9
