industry_code,avg_hrly_earnings,total_employment,women_employment,naics_supersector,naics_code,naics_sector_rollup,women_percentage,source
00000000,,144882.0,71873.0,00,000000,00,0.49607956820032856,ces
05000000,25.81,122566.0,59073.0,05,000000,00,0.4819688983894392,ces
06000000,27.09,19718.0,4325.0,06,000000,00,0.21934273252865402,ces
07000000,,125164.0,67548.0,07,000000,00,0.5396759451599501,ces
08000000,25.52,102848.0,54748.0,08,000000,00,0.5323195395146235,ces
10000000,32.12,661.0,99.0,10,000000,00,0.14977307110438728,ces
10113300,21.13,50.7,5.9,10,113300,11,0.11637080867850098,ces
10210000,32.95,610.2,92.6,10,210000,21,0.15175352343493934,ces
10211000,44.25,177.7,48.1,10,211000,21,0.27068092290377044,ces
10212000,29.07,178.7,16.3,10,212000,21,0.09121432568550644,ces
10212100,32.03,48.6,2.8,10,212100,21,0.05761316872427983,ces
10212111,,24.0,,10,212111,21,,ces
10212113,,24.6,,10,212113,21,,ces
10212200,32.84,39.3,3.8,10,212200,21,0.09669211195928754,ces
10212300,25.76,90.8,9.5,10,212300,21,0.10462555066079296,ces
10212310,24.18,41.3,4.2,10,212310,21,0.1016949152542373,ces
10212312,24.99,21.3,2.0,10,212312,21,0.09389671361502347,ces
10212319,23.47,20.1,2.2,10,212319,21,0.10945273631840796,ces
10212320,,37.5,,10,212320,21,,ces
10212321,,27.1,3.0,10,212321,21,0.11070110701107011,ces
10212390,,11.8,,10,212390,21,,ces
10213000,28.56,253.8,28.5,10,213000,21,0.11229314420803782,ces
10213112,27.82,192.6,22.4,10,213112,21,0.11630321910695741,ces
20000000,28.33,6727.0,841.0,20,000000,00,0.12501858183439868,ces
20236000,30.16,1494.3,258.7,20,236000,23,0.1731245399183564,ces
20236100,27.23,746.4,152.0,20,236100,23,0.20364415862808147,ces
20236115,26.87,350.4,71.1,20,236115,23,0.2029109589041096,ces
20236116,,32.5,7.0,20,236116,23,0.2153846153846154,ces
20236117,,35.2,12.1,20,236117,23,0.34374999999999994,ces
20236118,25.53,328.3,62.1,20,236118,23,0.18915625951873286,ces
20236200,32.85,747.9,106.5,20,236200,23,0.14239871640593663,ces
20236210,32.86,159.6,18.9,20,236210,23,0.11842105263157894,ces
20236220,32.84,588.3,87.8,20,236220,23,0.14924358320584735,ces
20237000,29.62,941.1,103.8,20,237000,23,0.11029646158750397,ces
20237100,29.27,471.2,45.7,20,237100,23,0.09698641765704585,ces
20237110,26.35,182.5,17.3,20,237110,23,0.09479452054794521,ces
20237120,32.66,119.7,10.4,20,237120,23,0.08688387635756056,ces
20237130,30.14,169.9,18.1,20,237130,23,0.10653325485579754,ces
20237200,39.69,39.6,19.5,20,237200,23,0.49242424242424243,ces
20237300,28.78,323.6,28.6,20,237300,23,0.08838071693448701,ces
20237900,30.81,106.0,10.4,20,237900,23,0.09811320754716982,ces
20238000,27.35,4291.6,478.5,20,238000,23,0.11149687762139994,ces
20238001,,1865.9,,20,238001,23,,ces
20238002,,2425.7,,20,238002,23,,ces
20238100,25.24,850.7,73.5,20,238100,23,0.08639943575878688,ces
20238110,24.97,213.5,15.0,20,238110,23,0.0702576112412178,ces
20238120,30.37,80.2,5.2,20,238120,23,0.06483790523690773,ces
20238130,22.37,77.2,4.2,20,238130,23,0.054404145077720206,ces
20238140,24.31,148.9,10.1,20,238140,23,0.06783075889858965,ces
20238150,27.5,64.0,8.1,20,238150,23,0.1265625,ces
20238160,25.03,187.6,21.4,20,238160,23,0.1140724946695096,ces
20238170,23.12,36.8,5.7,20,238170,23,0.1548913043478261,ces
20238190,23.8,44.1,3.9,20,238190,23,0.08843537414965986,ces
20238200,29.14,2036.6,244.0,20,238200,23,0.11980752234115684,ces
20238210,29.99,867.2,93.9,20,238210,23,0.10827952029520295,ces
20238220,28.29,1032.9,136.0,20,238220,23,0.13166811888856617,ces
20238290,30.07,137.6,13.9,20,238290,23,0.10101744186046513,ces
20238300,26.07,768.2,93.1,20,238300,23,0.1211923978130695,ces
20238310,27.89,233.7,17.4,20,238310,23,0.07445442875481387,ces
20238320,23.24,195.8,24.3,20,238320,23,0.12410623084780388,ces
20238330,25.01,72.7,13.6,20,238330,23,0.18707015130674,ces
20238340,25.85,54.0,7.2,20,238340,23,0.13333333333333333,ces
20238350,25.51,137.4,19.0,20,238350,23,0.13828238719068414,ces
20238390,30.09,78.0,11.9,20,238390,23,0.15256410256410258,ces
20238900,25.96,631.3,68.2,20,238900,23,0.10803104704577857,ces
20238910,26.34,314.0,30.3,20,238910,23,0.09649681528662421,ces
20238990,25.72,316.0,37.6,20,238990,23,0.11898734177215191,ces
23252000,30.66,,,23,252000,25,,ces
30000000,26.16,12330.0,3385.0,30,000000,00,0.27453365774533656,ces
31000000,27.46,7693.0,1805.0,31,000000,00,0.23462888340049395,ces
31321000,19.55,391.3,57.3,31,321000,32,0.14643496038844875,ces
31321100,19.69,90.9,6.9,31,321100,32,0.07590759075907591,ces
31321200,19.27,79.4,10.1,31,321200,32,0.12720403022670024,ces
31321212,,30.3,,31,321212,32,,ces
31321214,,49.3,,31,321214,32,,ces
31321900,19.57,221.0,40.4,31,321900,32,0.18280542986425338,ces
31321910,20.64,99.0,20.7,31,321910,32,0.20909090909090908,ces
31321911,23.53,49.5,12.7,31,321911,32,0.25656565656565655,ces
31321918,17.66,49.4,7.8,31,321918,32,0.15789473684210525,ces
31321920,17.79,60.0,8.3,31,321920,32,0.13833333333333334,ces
31321990,19.76,61.8,11.6,31,321990,32,0.18770226537216828,ces
31327000,23.6,408.0,66.2,31,327000,32,0.16225490196078432,ces
31327100,,39.4,11.5,31,327100,32,0.2918781725888325,ces
31327200,,86.5,20.9,31,327200,32,0.24161849710982658,ces
31327212,,27.4,,31,327212,32,,ces
31327215,,59.3,,31,327215,32,,ces
31327300,24.27,191.4,16.1,31,327300,32,0.08411703239289446,ces
31327320,24.1,94.3,7.7,31,327320,32,0.08165429480381761,ces
31327390,24.47,97.0,8.4,31,327390,32,0.0865979381443299,ces
31327900,21.87,90.7,17.6,31,327900,32,0.1940463065049614,ces
31331000,26.16,375.4,50.7,31,331000,33,0.13505594033031434,ces
31331100,,83.2,,31,331100,33,,ces
31331200,26.15,55.3,6.6,31,331200,33,0.11934900542495479,ces
31331300,,59.2,,31,331300,33,,ces
31331400,28.13,62.0,9.9,31,331400,33,0.15967741935483873,ces
31331500,23.26,115.8,17.0,31,331500,33,0.14680483592400692,ces
31331510,,61.0,,31,331510,33,,ces
31331511,,35.5,,31,331511,33,,ces
31331520,,54.8,,31,331520,33,,ces
31332000,24.14,1418.6,252.6,31,332000,33,0.17806287889468492,ces
31332100,24.35,98.7,18.1,31,332100,33,0.1833839918946302,ces
31332200,,38.6,,31,332200,33,,ces
31332300,22.98,364.6,,31,332300,33,,ces
31332310,23.94,159.6,,31,332310,33,,ces
31332312,24.26,86.9,,31,332312,33,,ces
31332313,,72.9,,31,332313,33,,ces
31332320,22.17,205.9,33.5,31,332320,33,0.16270033997085964,ces
31332321,,62.2,13.6,31,332321,33,0.21864951768488744,ces
31332322,22.74,104.4,15.6,31,332322,33,0.14942528735632182,ces
31332323,,39.2,4.3,31,332323,33,0.10969387755102039,ces
31332400,25.89,90.6,12.7,31,332400,33,0.1401766004415011,ces
31332600,,68.5,,31,332600,33,,ces
31332700,24.05,350.0,52.8,31,332700,33,0.15085714285714286,ces
31332710,23.95,270.9,36.8,31,332710,33,0.135843484680694,ces
31332720,24.39,79.2,15.9,31,332720,33,0.20075757575757575,ces
31332721,,39.9,,31,332721,33,,ces
31332722,,39.2,,31,332722,33,,ces
